sample,Ciprofloxacin,Clindamycin,Erythromycin,FusidicAcid,Gentamicin,Methicillin,Mupirocin,Penicillin,Rifampicin,Tetracycline,Trimethoprim,Vancomycin
28103_1#10,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#100,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#102,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#108,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#110,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#116,S,S,S,R,S,S,S,R,S,S,S,S
28103_1#120,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#124,S,R,R,S,S,S,S,S,S,S,S,S
28103_1#128,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#130,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#136,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#138,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#144,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#146,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#152,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#154,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#159,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#16,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#161,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#167,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#169,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#175,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#177,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#18,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#183,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#188,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#192,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#196,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#198,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#2,S,R,R,S,S,S,S,S,S,S,S,S
28103_1#204,S,S,R,S,S,S,S,R,S,S,S,S
28103_1#206,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#212,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#214,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#220,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#222,S,S,S,R,S,S,S,R,S,R,S,S
28103_1#227,S,S,S,S,S,S,S,r,S,S,S,S
28103_1#229,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#234,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#237,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#24,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#242,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#246,S,R,R,S,S,S,S,S,S,S,S,S
28103_1#249,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#254,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#255,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#26,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#261,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#263,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#267,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#270,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#275,S,S,S,R,S,S,S,S,S,S,S,S
28103_1#278,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#283,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#285,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#291,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#293,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#299,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#301,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#307,S,S,S,R,S,S,S,R,S,S,S,S
28103_1#312,S,S,S,S,S,R,S,R,S,S,S,S
28103_1#315,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#32,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#320,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#321,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#327,S,S,R,S,S,S,S,R,S,S,S,S
28103_1#329,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#335,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#337,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#34,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#343,S,S,S,S,S,S,S,S,S,S,S,S
28103_1#345,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#351,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#353,S,R,R,S,S,S,S,R,S,S,S,S
28103_1#359,S,S,S,S,S,S,S,R,S,S,S,S
28103_1#361,S,S,S,S,S,S,S,R,S,S,S,S
