id,name,Source,CC,Year
37822_1#1,CARRICAM0093,Carriage,CC30,
37822_1#10,CARRICAM0152,Carriage,CC1,
37822_1#100,CARRICAM0173,Carriage,CC30,
37822_1#101,CARRICAM0122,Carriage,CC30,
37822_1#102,CARRICAM0174,Carriage,CC8,
37822_1#103,CARRICAM0123,Carriage,CC30,
37822_1#104,CARRICAM0175,Carriage,CC15,
37822_1#105,CARRICAM0124,Carriage,CC30,
37822_1#106,CARRICAM0176,Carriage,CC8,
37822_1#107,CARRICAM0125,Carriage,CC15,
37822_1#108,CARRICAM0177,Carriage,CC8,
37822_1#109,CARRICAM0127,Carriage,ST398,
37822_1#11,CARRICAM0099,Carriage,ST398,
37822_1#110,CARRICAM0178,Carriage,CC8,
37822_1#111,CARRICAM0128,Carriage,ST398,
37822_1#112,CARRICAM0179,Carriage,ST7,
37822_1#12,CARRICAM0153,Carriage,CC22,
37822_1#129,CARRICAM0129,Carriage,CC15,
37822_1#13,CARRICAM0100,Carriage,ST398,
37822_1#130,CARRICAM0180,Carriage,ST12,
37822_1#131,CARRICAM0130,Carriage,ST398,
37822_1#132,CARRICAM0181,Carriage,CC30,
37822_1#133,CARRICAM0131,Carriage,CC1,
37822_1#134,CARRICAM0182,Carriage,CC8,
37822_1#135,CARRICAM0132,Carriage,ST7,
37822_1#136,CARRICAM0183,Carriage,CC15,
37822_1#137,CARRICAM0133,Carriage,CC30,
37822_1#138,CARRICAM0184,Carriage,CC30,
37822_1#139,CARRICAM0134,Carriage,CC45,
37822_1#14,CARRICAM0154,Carriage,CC15,
37822_1#140,CARRICAM0185,Carriage,ST7,
37822_1#141,CARRICAM0135,Carriage,CC45,
37822_1#142,CARRICAM0186,Carriage,CC15,
37822_1#143,CARRICAM0136,Carriage,CC30,
37822_1#144,CARRICAM0187,Carriage,CC30,
37822_1#15,CARRICAM0101,Carriage,ST25,
37822_1#16,CARRICAM0155,Carriage,CC30,
37822_1#161,CARRICAM0137,Carriage,ST7,
37822_1#162,CARRICAM0188,Carriage,CC15,
37822_1#163,CARRICAM0138,Carriage,CC15,
37822_1#164,CARRICAM0189,Carriage,CC30,
37822_1#165,CARRICAM0139,Carriage,CC30,
37822_1#167,CARRICAM0140,Carriage,CC15,
37822_1#168,CARRICAM0191,Carriage,CC22,
37822_1#169,CARRICAM0141,Carriage,CC45,
37822_1#170,CARRICAM0192,Carriage,CC22,
37822_1#171,CARRICAM0142,Carriage,CC30,
37822_1#172,CARRICAM0193,Carriage,CC15,
37822_1#173,CARRICAM0143,Carriage,CC30,
37822_1#174,CARRICAM0194,Carriage,CC22,
37822_1#175,CARRICAM0144,Carriage,CC30,
37822_1#176,CARRICAM0195,Carriage,CC22,
37822_1#193,CARRICAM0145,Carriage,ST7,
37822_1#194,CARRICAM0196,Carriage,CC45,
37822_1#195,CARRICAM0230,Carriage,CC15,
37822_1#196,CARRICAM0197,Carriage,CC1,
37822_1#197,CARRICAM0231,Carriage,CC15,
37822_1#198,CARRICAM0199,Carriage,CC30,
37822_1#199,CARRICAM0232,Carriage,CC15,
37822_1#2,CARRICAM0148,Carriage,CC30,
37822_1#200,CARRICAM0200,Carriage,CC8,
37822_1#201,CARRICAM0233,Carriage,CC8,
37822_1#202,CARRICAM0201,Carriage,CC15,
37822_1#203,CARRICAM0234,Carriage,CC30,
37822_1#204,CARRICAM0202,Carriage,ST398,
37822_1#205,CARRICAM0235,Carriage,CC45,
37822_1#206,CARRICAM0203,Carriage,ST59,
37822_1#207,CARRICAM0236,Carriage,ST398,
37822_1#208,CARRICAM0204,Carriage,ST7,
37822_1#225,CARRICAM0244,Carriage,CC30,
37822_1#226,CARRICAM0205,Carriage,CC30,
37822_1#227,CARRICAM0245,Carriage,CC30,
37822_1#228,CARRICAM0286,Carriage,CC30,
37822_1#229,CARRICAM0246,Carriage,CC30,
37822_1#230,CARRICAM0289,Carriage,CC30,
37822_1#231,CARRICAM0247,Carriage,CC30,
37822_1#232,CARRICAM0290,Carriage,CC8,
37822_1#233,CARRICAM0248,Carriage,CC5,
37822_1#234,CARRICAM0292,Carriage,CC8,
37822_1#235,CARRICAM0249,Carriage,ST398,
37822_1#236,CARRICAM0293,Carriage,CC30,
37822_1#237,CARRICAM0250,Carriage,CC5,
37822_1#238,CARRICAM0294,Carriage,ST398,
37822_1#239,CARRICAM0251,Carriage,CC30,
37822_1#240,CARRICAM0295,Carriage,CC30,
37822_1#251,CARRICAM0253,Carriage,CC1,
37822_1#252,CARRICAM0296,Carriage,CC1,
37822_1#253,CARRICAM0255,Carriage,CC30,
37822_1#254,CARRICAM0298,Carriage,CC8,
37822_1#255,CARRICAM0256,Carriage,CC30,
37822_1#256,CARRICAM0299,Carriage,CC30,
37822_1#257,CARRICAM0257,Carriage,CC30,
37822_1#258,CARRICAM0300,Carriage,CC45,
37822_1#259,CARRICAM0258,Carriage,CC30,
37822_1#260,CARRICAM0301,Carriage,ST398,
37822_1#261,CARRICAM0259,Carriage,CC30,
37822_1#262,CARRICAM0302,Carriage,CC5,
37822_1#263,CARRICAM0260,Carriage,CC45,
37822_1#264,CARRICAM0303,Carriage,CC30,
37822_1#265,CARRICAM0261,Carriage,CC30,
37822_1#266,CARRICAM0304,Carriage,CC30,
37822_1#275,CARRICAM0262,Carriage,CC1,
37822_1#276,CARRICAM0305,Carriage,CC1,
37822_1#277,CARRICAM0263,Carriage,CC45,
37822_1#278,CARRICAM0306,Carriage,CC8,
37822_1#279,CARRICAM0264,Carriage,CC15,
37822_1#280,CARRICAM0307,Carriage,CC45,
37822_1#281,CARRICAM0265,Carriage,ST20,
37822_1#282,CARRICAM0308,Carriage,CC30,
37822_1#283,CARRICAM0266,Carriage,CC15,
37822_1#284,CARRICAM0309,Carriage,CC30,
37822_1#285,CARRICAM0267,Carriage,ST20,
37822_1#286,CARRICAM0310,Carriage,CC30,
37822_1#287,CARRICAM0268,Carriage,CC45,
37822_1#288,CARRICAM0311,Carriage,CC30,
37822_1#289,CARRICAM0269,Carriage,CC15,
37822_1#290,CARRICAM0312,Carriage,CC1,
37822_1#299,CARRICAM0270,Carriage,ST20,
37822_1#3,CARRICAM0094,Carriage,CC30,
37822_1#300,CARRICAM0313,Carriage,CC45,
37822_1#302,CARRICAM0314,Carriage,CC30,
37822_1#303,CARRICAM0272,Carriage,CC15,
37822_1#304,CARRICAM0315,Carriage,Novel,
37822_1#306,CARRICAM0316,Carriage,CC15,
37822_1#307,CARRICAM0274,Carriage,CC97,
37822_1#308,CARRICAM0317,Carriage,CC15,
37822_1#309,CARRICAM0275,Carriage,CC30,
37822_1#310,CARRICAM0318,Carriage,CC15,
37822_1#311,CARRICAM0276,Carriage,CC30,
37822_1#312,CARRICAM0319,Carriage,ST59,
37822_1#313,CARRICAM0277,Carriage,CC15,
37822_1#314,CARRICAM0320,Carriage,CC1,
37822_1#323,CARRICAM0278,Carriage,CC30,
37822_1#324,CARRICAM0321,Carriage,CC45,
37822_1#325,CARRICAM0279,Carriage,CC15,
37822_1#326,CARRICAM0322,Carriage,CC45,
37822_1#327,CARRICAM0280,Carriage,CC1,
37822_1#328,CARRICAM0323,Carriage,CC1,
37822_1#33,CARRICAM0103,Carriage,CC15,
37822_1#330,CARRICAM0324,Carriage,CC45,
37822_1#331,CARRICAM0282,Carriage,CC97,
37822_1#332,CARRICAM0325,Carriage,CC45,
37822_1#333,CARRICAM0089,Carriage,CC30,
37822_1#334,CARRICAM0090,Carriage,CC8,
37822_1#335,CARRICAM0146,Carriage,CC5,
37822_1#336,CARRICAM0102,Carriage,ST12,
37822_1#337,CARRICAM0147,Carriage,CC15,
37822_1#338,CARRICAM0126,Carriage,CC15,
37822_1#34,CARRICAM0156,Carriage,CC5,
37822_1#35,CARRICAM0104,Carriage,CC8,
37822_1#36,CARRICAM0157,Carriage,CC8,
37822_1#37,CARRICAM0105,Carriage,ST398,
37822_1#38,CARRICAM0158,Carriage,CC30,
37822_1#39,CARRICAM0106,Carriage,CC15,
37822_1#4,CARRICAM0149,Carriage,CC30,
37822_1#40,CARRICAM0159,Carriage,CC8,
37822_1#41,CARRICAM0107,Carriage,CC30,
37822_1#42,CARRICAM0160,Carriage,CC8,
37822_1#43,CARRICAM0108,Carriage,CC45,
37822_1#44,CARRICAM0161,Carriage,CC22,
37822_1#45,CARRICAM0109,Carriage,CC22,
37822_1#46,CARRICAM0162,Carriage,CC5,
37822_1#47,CARRICAM0110,Carriage,ST398,
37822_1#48,CARRICAM0163,Carriage,ST12,
37822_1#5,CARRICAM0096,Carriage,ST398,
37822_1#65,CARRICAM0111,Carriage,ST12,
37822_1#66,CARRICAM0164,Carriage,CC8,
37822_1#67,CARRICAM0112,Carriage,ST12,
37822_1#68,CARRICAM0165,Carriage,CC15,
37822_1#69,CARRICAM0113,Carriage,CC45,
37822_1#7,CARRICAM0097,Carriage,ST25,
37822_1#70,CARRICAM0166,Carriage,CC8,
37822_1#71,CARRICAM0114,Carriage,CC30,
37822_1#72,CARRICAM0167,Carriage,CC15,
37822_1#73,CARRICAM0115,Carriage,CC15,
37822_1#74,CARRICAM0168,Carriage,CC8,
37822_1#75,CARRICAM0116,Carriage,CC22,
37822_1#76,CARRICAM0169,Carriage,CC22,
37822_1#77,CARRICAM0118,Carriage,CC45,
37822_1#78,CARRICAM0170,Carriage,ST12,
37822_1#79,CARRICAM0119,Carriage,CC30,
37822_1#8,CARRICAM0151,Carriage,CC30,
37822_1#80,CARRICAM0171,Carriage,ST7,
37822_1#9,CARRICAM0098,Carriage,CC30,
37822_1#97,CARRICAM0120,Carriage,CC22,
37822_1#98,CARRICAM0172,Carriage,CC45,
37822_1#99,CARRICAM0121,Carriage,CC30,
38088_2#1,CARRICAM0003,Carriage,ST59,
38088_2#10,CARRICAM0338,Carriage,ST398,
38088_2#100,CARRICAM0370,Carriage,CC5,
